"META","","","ESTRUCTURAL","","","","","","","LOCACIONAL","","","","","SEGURIDAD","","TCO","","","","","TARGET","",""
"SHV-0050","UAECD-OTC","Venta","Apartamento","81","3","2","No","No","33","Engativá","Engativá","4","4.708385","-74.133301","175","5.75","71000","194","112000","396000","579000","453100000","2350000","453100000"
"SHV-0051","UAECD-OTC","Arriendo","Apartamento","35","3","3","Sí","No","25","Suba","Andes","3","4.729812","-74.0765","195","5.09","45000","90","47000","72000","164000","117800000","520000","520000"
"SHV-0052","FincaRaíz","Arriendo","Apartamento","91","3","2","Sí","No","45","Barrios Unidos","12 de Octubre","4","4.688643","-74.06252","265","2.8","73000","227","146000","434000","653000","483700000","2640000","2640000"
"SHV-0053","Habi","Venta","Apartamento","122","4","4","Sí","Sí","49","Teusaquillo","Galerías","5","4.619312","-74.071732","300","1.65","184000","238","270000","765000","1219000","943500000","5340000","943500000"
"SHV-0054","Metrocuadrado","Arriendo","Apartamento","58","2","1","No","Sí","60","Los Mártires","La Sabana","3","4.623588","-74.073383","280","2.31","60000","117","98000","176000","334000","216800000","1120000","1120000"
"SHV-0055","FincaRaíz","Venta","Apartamento","72","2","2","Sí","No","51","Antonio Nariño","Antonio Nariño","3","4.593018","-74.090805","220","4.27","50000","157","91000","191000","332000","210700000","1090000","210700000"
"SHV-0056","UAECD-OTC","Venta","Apartamento","80","3","3","No","No","32","Puente Aranda","Muzú","3","4.625475","-74.116873","245","3.45","79000","186","77000","210000","366000","273900000","1280000","273900000"
"SHV-0057","Habi","Arriendo","Casa","40","2","1","No","No","39","La Candelaria","La Candelaria","2","4.593086","-74.082722","310","1.33","32000","94","61000","0","93000","106400000","520000","520000"
"SHV-0058","FincaRaíz","Venta","Casa","62","4","3","No","No","51","Rafael Uribe Uribe","Quiroga","2","4.55179","-74.132595","200","4.93","41000","136","65000","14000","120000","169400000","970000","169400000"
"SHV-0059","UAECD-OTC","Arriendo","Apartamento","49","2","1","No","No","15","Ciudad Bolívar","El Mochuelo","2","4.535412","-74.14083","170","5.91","55000","129","65000","69000","189000","111600000","610000","610000"
"SHV-0060","Properati","Arriendo","Apartamento","61","3","2","No","No","7","Sumapaz","Sumapaz","2","4.258849","-74.348766","45","10","29000","118","47000","21000","97000","171800000","870000","870000"
"SHV-0061","UAECD-OTC","Venta","Casa","178","3","2","Sí","Sí","22","Usaquén","Usaquén","6","4.682515","-74.036271","180","5.58","203000","474","533000","0","736000","2445900000","11580000","2445900000"
"SHV-0062","Properati","Venta","Apartamento","95","2","2","No","Sí","23","Chapinero","Chico Lago","4","4.65577","-74.064787","320","1","110000","174","124000","505000","739000","525900000","2160000","525900000"
"SHV-0063","Habi","Venta","Apartamento","81","3","2","No","No","28","Santa Fe","Sagrado Corazón","3","4.605367","-74.06667","290","1.98","82000","171","87000","192000","361000","312400000","1340000","312400000"
"SHV-0064","UAECD-OTC","Arriendo","Apartamento","58","2","2","No","No","59","San Cristóbal","La Gloria","2","4.553907","-74.09851","210","4.6","30000","132","85000","46000","161000","127600000","560000","560000"
"SHV-0065","Metrocuadrado","Arriendo","Apartamento","29","1","1","No","No","9","Usme","Gran Yomasa","1","4.495491","-74.12529","140","6.89","18000","96","50000","12000","80000","55700000","260000","260000"
"SHV-0066","Metrocuadrado","Venta","Casa","54","2","2","No","No","38","Tunjuelito","Tunjuelito","2","4.559912","-74.122578","190","5.25","52000","134","61000","0","113000","132100000","780000","132100000"
"SHV-0067","Metrocuadrado","Arriendo","Casa","60","2","1","No","Sí","3","Bosa","Bosa Occidental","2","4.642271","-74.221832","160","6.24","46000","117","54000","38000","138000","130500000","650000","650000"
"SHV-0068","UAECD-OTC","Arriendo","Apartamento","68","3","2","No","No","19","Kennedy","Américas","3","4.608417","-74.18169","230","3.95","48000","187","92000","191000","331000","214500000","960000","960000"
"SHV-0069","Properati","Arriendo","Apartamento","56","2","2","Sí","No","27","Fontibón","Modelia","3","4.672578","-74.161575","200","4.93","70000","114","74000","149000","293000","176600000","740000","740000"
"SHV-0070","Habi","Venta","Casa","49","2","2","No","No","14","Engativá","Minuto de Dios","3","4.716588","-74.113181","175","5.75","64000","125","103000","66000","233000","208900000","980000","208900000"
"SHV-0071","UAECD-OTC","Venta","Apartamento","104","4","3","No","Sí","23","Suba","Niza","4","4.72118","-74.090629","195","5.09","104000","206","157000","435000","696000","661100000","3720000","661100000"
"SHV-0072","Metrocuadrado","Venta","Apartamento","38","3","2","No","No","34","Barrios Unidos","Alcázares","3","4.688454","-74.064527","265","2.8","41000","111","68000","109000","218000","167000000","800000","167000000"
"SHV-0073","Properati","Venta","Apartamento","78","2","1","No","No","45","Teusaquillo","Teusaquillo","4","4.639524","-74.10119","300","1.65","62000","221","106000","325000","493000","481700000","2670000","481700000"
"SHV-0074","FincaRaíz","Arriendo","Apartamento","82","2","1","No","No","32","Los Mártires","Ricaurte","3","4.601709","-74.105222","280","2.31","85000","162","92000","165000","342000","318900000","1790000","1790000"
"SHV-0075","Habi","Venta","Casa","42","1","1","No","No","45","Antonio Nariño","Restrepo","2","4.569472","-74.120001","220","4.27","26000","105","57000","8000","91000","117200000","490000","117200000"
"SHV-0076","FincaRaíz","Arriendo","Apartamento","85","4","4","No","No","36","Puente Aranda","Ciudad Montes","4","4.615221","-74.103993","245","3.45","104000","166","170000","378000","652000","498800000","2600000","2600000"
"SHV-0077","FincaRaíz","Venta","Apartamento","60","2","2","Sí","No","60","La Candelaria","La Candelaria","3","4.597198","-74.080212","310","1.33","39000","148","96000","202000","337000","263700000","1560000","263700000"
"SHV-0078","UAECD-OTC","Venta","Apartamento","44","2","2","No","No","16","Rafael Uribe Uribe","Marco Fidel Suárez","2","4.539322","-74.123136","200","4.93","23000","100","60000","23000","106000","91400000","440000","91400000"
"SHV-0079","Metrocuadrado","Venta","Apartamento","45","2","2","No","Sí","22","Ciudad Bolívar","Lucero","2","4.511548","-74.182586","170","5.91","30000","135","67000","47000","144000","95500000","390000","95500000"
"SHV-0080","Habi","Venta","Apartamento","62","3","3","No","No","25","Sumapaz","Sumapaz","2","4.275016","-74.342288","45","10","36000","120","73000","21000","130000","143600000","840000","143600000"
"SHV-0081","Habi","Arriendo","Apartamento","181","3","3","Sí","Sí","26","Usaquén","Country Club","6","4.703227","-74.047372","180","5.58","308000","447","362000","1769000","2439000","2120300000","12230000","12230000"
"SHV-0082","FincaRaíz","Venta","Casa","61","3","2","Sí","No","14","Chapinero","El Refugio","3","4.638207","-74.051813","320","1","35000","170","96000","0","131000","274100000","1380000","274100000"
"SHV-0083","FincaRaíz","Venta","Apartamento","52","3","3","No","No","53","Santa Fe","Lourdes","2","4.603946","-74.070825","290","1.98","25000","104","46000","25000","96000","143800000","730000","143800000"
"SHV-0084","UAECD-OTC","Venta","Casa","51","3","3","No","No","59","San Cristóbal","Los Libertadores","1","4.537858","-74.065779","210","4.6","34000","139","59000","0","93000","76200000","340000","76200000"
"SHV-0085","Properati","Arriendo","Casa","40","2","1","No","No","0","Usme","La Flora","1","4.456185","-74.134785","140","6.89","20000","113","64000","0","84000","68700000","390000","390000"
"SHV-0086","UAECD-OTC","Venta","Apartamento","59","2","2","No","Sí","32","Tunjuelito","Venecia","3","4.580906","-74.136855","190","5.25","48000","136","57000","158000","263000","182100000","910000","182100000"
"SHV-0087","Metrocuadrado","Venta","Apartamento","34","3","3","No","No","14","Bosa","Bosa Central","1","4.599194","-74.215984","160","6.24","31000","106","37000","34000","102000","58700000","240000","58700000"
"SHV-0088","UAECD-OTC","Arriendo","Apartamento","66","3","3","Sí","No","39","Kennedy","Carvajal","3","4.602409","-74.141459","230","3.95","61000","173","98000","153000","312000","251600000","1350000","1350000"
"SHV-0089","Properati","Venta","Apartamento","86","3","2","Sí","No","35","Fontibón","Fontibón","3","4.65095","-74.162217","200","4.93","58000","150","86000","240000","384000","302500000","1790000","302500000"
"SHV-0090","UAECD-OTC","Venta","Casa","78","3","3","No","Sí","34","Engativá","Garcés Navas","3","4.711927","-74.126436","175","5.75","85000","174","90000","0","175000","245200000","1390000","245200000"
"SHV-0091","UAECD-OTC","Arriendo","Casa","46","3","2","No","No","21","Suba","Suba","2","4.759667","-74.113823","195","5.09","30000","93","77000","0","107000","122600000","560000","560000"
"SHV-0092","Metrocuadrado","Venta","Apartamento","54","3","3","Sí","No","14","Barrios Unidos","Alcázares","4","4.650754","-74.067043","265","2.8","69000","124","132000","251000","452000","271800000","1120000","271800000"
"SHV-0093","Properati","Arriendo","Apartamento","104","4","4","Sí","No","39","Teusaquillo","Nicolás de Federmán","5","4.638769","-74.070544","300","1.65","102000","267","256000","686000","1044000","966000000","5680000","5680000"
"SHV-0094","Metrocuadrado","Arriendo","Apartamento","92","3","3","No","Sí","5","Los Mártires","Ricaurte","3","4.629686","-74.09119","280","2.31","55000","174","122000","303000","480000","379900000","2230000","2230000"
"SHV-0095","Properati","Venta","Apartamento","44","2","2","No","No","57","Antonio Nariño","Restrepo","3","4.570325","-74.095869","220","4.27","39000","130","77000","114000","230000","167600000","850000","167600000"
"SHV-0096","UAECD-OTC","Venta","Apartamento","60","3","2","Sí","Sí","48","Puente Aranda","Ciudad Montes","4","4.635055","-74.102029","245","3.45","63000","175","104000","267000","434000","367700000","1940000","367700000"
"SHV-0097","Habi","Venta","Casa","56","2","1","No","No","26","La Candelaria","La Candelaria","2","4.618441","-74.081399","310","1.33","51000","103","66000","20000","137000","149200000","730000","149200000"
"SHV-0098","Habi","Venta","Apartamento","82","2","2","No","No","49","Rafael Uribe Uribe","Marco Fidel Suárez","3","4.581818","-74.118721","200","4.93","71000","143","92000","243000","406000","304500000","1470000","304500000"
"SHV-0099","Habi","Venta","Apartamento","53","3","3","No","No","24","Ciudad Bolívar","Arborizadora","2","4.5315","-74.171482","170","5.91","54000","109","48000","45000","147000","146600000","620000","146600000"
"SHV-0100","UAECD-OTC","Arriendo","Apartamento","71","3","2","No","No","11","Sumapaz","Sumapaz","2","4.276597","-74.385689","45","10","64000","152","91000","70000","225000","190600000","800000","800000"
"SHV-0101","UAECD-OTC","Venta","Apartamento","116","4","3","Sí","No","14","Usaquén","Santa Bárbara","5","4.721898","-74.016987","180","5.58","173000","338","262000","716000","1151000","952700000","4250000","952700000"
"SHV-0102","UAECD-OTC","Venta","Casa","150","3","3","Sí","Sí","23","Chapinero","Chico Lago","5","4.63653","-74.056247","320","1","193000","319","227000","0","420000","1218200000","6910000","1218200000"
"SHV-0103","Properati","Venta","Apartamento","86","3","3","No","No","52","Santa Fe","La Macarena","3","4.617262","-74.101581","290","1.98","40000","215","81000","204000","325000","271600000","1170000","271600000"
"SHV-0104","Habi","Arriendo","Casa","48","2","2","No","No","22","San Cristóbal","San Blas","2","4.537649","-74.105004","210","4.6","36000","94","70000","8000","114000","117800000","520000","520000"
"SHV-0105","FincaRaíz","Arriendo","Casa","40","1","1","No","No","16","Usme","Alfonso López","1","4.466087","-74.146874","140","6.89","19000","111","48000","0","67000","79800000","410000","410000"
"SHV-0106","Properati","Venta","Apartamento","33","3","3","Sí","No","60","Tunjuelito","Venecia","3","4.566938","-74.146573","190","5.25","51000","138","68000","67000","186000","109600000","490000","109600000"
"SHV-0107","UAECD-OTC","Venta","Apartamento","69","3","2","Sí","Sí","7","Bosa","Apogeo","2","4.637359","-74.202454","160","6.24","41000","130","83000","81000","205000","161400000","700000","161400000"
"SHV-0108","Properati","Venta","Apartamento","67","3","3","No","No","33","Kennedy","Carvajal","2","4.649754","-74.168305","230","3.95","66000","114","71000","42000","179000","181700000","930000","181700000"
"SHV-0109","Metrocuadrado","Venta","Apartamento","76","2","1","Sí","Sí","30","Fontibón","Aeropuerto","4","4.680313","-74.147225","200","4.93","73000","192","149000","391000","613000","557000000","2640000","557000000"
"SHV-0110","FincaRaíz","Arriendo","Apartamento","80","3","3","Sí","No","24","Engativá","Minuto de Dios","4","4.715838","-74.104734","175","5.75","91000","227","101000","349000","541000","535500000","2810000","2810000"
"SHV-0111","FincaRaíz","Arriendo","Apartamento","71","2","1","No","No","24","Suba","Andes","3","4.744629","-74.080974","195","5.09","54000","186","83000","185000","322000","304800000","1780000","1780000"
"SHV-0112","FincaRaíz","Arriendo","Apartamento","64","3","2","Sí","No","50","Barrios Unidos","Alcázares","4","4.665919","-74.087159","265","2.8","66000","200","134000","264000","464000","399500000","1720000","1720000"
"SHV-0113","Properati","Arriendo","Casa","190","4","3","Sí","Sí","39","Teusaquillo","Teusaquillo","5","4.627925","-74.072926","300","1.65","175000","375","366000","396000","937000","1677800000","9780000","9780000"
"SHV-0114","Metrocuadrado","Venta","Casa","73","2","1","No","Sí","46","Los Mártires","La Sabana","3","4.595523","-74.101618","280","2.31","84000","193","122000","115000","321000","233000000","1350000","233000000"
"SHV-0115","Properati","Venta","Casa","56","1","1","No","No","58","Antonio Nariño","Antonio Nariño","2","4.557538","-74.080741","220","4.27","52000","123","64000","0","116000","142900000","810000","142900000"
"SHV-0116","Properati","Arriendo","Apartamento","74","4","4","Sí","Sí","30","Puente Aranda","Ciudad Montes","4","4.604973","-74.087804","245","3.45","81000","202","111000","342000","534000","388300000","2040000","2040000"
"SHV-0117","Properati","Venta","Apartamento","27","4","3","No","Sí","56","La Candelaria","La Candelaria","2","4.620859","-74.08015","310","1.33","33000","77","52000","1000","86000","63900000","330000","63900000"
"SHV-0118","UAECD-OTC","Venta","Apartamento","54","2","1","No","Sí","41","Rafael Uribe Uribe","Quiroga","2","4.555401","-74.123359","200","4.93","34000","132","47000","17000","98000","106000000","560000","106000000"
"SHV-0119","Habi","Venta","Apartamento","51","1","1","No","Sí","16","Ciudad Bolívar","Tesoro","2","4.529764","-74.181663","170","5.91","35000","133","56000","24000","115000","125800000","680000","125800000"
"SHV-0120","Properati","Venta","Casa","66","2","1","No","No","21","Sumapaz","Sumapaz","2","4.249106","-74.384089","45","10","47000","154","98000","11000","156000","148800000","600000","148800000"
"SHV-0121","Metrocuadrado","Arriendo","Apartamento","66","3","3","No","No","23","Usaquén","Toberín","4","4.715387","-74.025713","180","5.58","82000","134","95000","341000","518000","372200000","2200000","2200000"
"SHV-0122","Properati","Venta","Casa","62","2","2","No","No","22","Chapinero","Pardo Rubio","3","4.652635","-74.080507","320","1","65000","127","90000","56000","211000","209000000","1080000","209000000"
"SHV-0123","Properati","Venta","Apartamento","64","2","2","No","No","49","Santa Fe","La Macarena","3","4.60394","-74.069362","290","1.98","37000","154","111000","220000","368000","212700000","1180000","212700000"
"SHV-0124","UAECD-OTC","Arriendo","Apartamento","58","2","1","No","No","42","San Cristóbal","20 de Julio","1","4.554443","-74.069551","210","4.6","21000","107","69000","77000","167000","105600000","500000","500000"
"SHV-0125","FincaRaíz","Arriendo","Apartamento","41","3","3","No","No","17","Usme","Alfonso López","1","4.459932","-74.103358","140","6.89","25000","97","37000","41000","103000","82300000","330000","330000"
"SHV-0126","FincaRaíz","Venta","Apartamento","72","2","2","Sí","Sí","60","Tunjuelito","Tunjuelito","3","4.588871","-74.125749","190","5.25","41000","150","88000","220000","349000","274500000","1380000","274500000"
"SHV-0127","UAECD-OTC","Venta","Apartamento","45","1","1","No","No","4","Bosa","El Porvenir","1","4.616948","-74.197012","160","6.24","23000","130","67000","43000","133000","77800000","390000","77800000"
"SHV-0128","Properati","Arriendo","Apartamento","33","3","2","No","Sí","53","Kennedy","Timiza","2","4.616025","-74.184952","230","3.95","34000","87","58000","1000","93000","89700000","440000","440000"
"SHV-0129","Metrocuadrado","Arriendo","Apartamento","74","2","2","No","No","19","Fontibón","Aeropuerto","4","4.664994","-74.163806","200","4.93","63000","180","140000","390000","593000","420300000","1970000","1970000"
"SHV-0130","Habi","Arriendo","Apartamento","86","3","3","No","Sí","28","Engativá","Minuto de Dios","4","4.680623","-74.104771","175","5.75","105000","230","134000","439000","678000","562800000","2530000","2530000"
"SHV-0131","Habi","Venta","Apartamento","88","3","3","Sí","No","6","Suba","Andes","4","4.72659","-74.106499","195","5.09","77000","192","141000","426000","644000","637000000","3220000","637000000"
"SHV-0132","Habi","Venta","Apartamento","106","3","2","No","Sí","60","Barrios Unidos","12 de Octubre","4","4.667641","-74.081136","265","2.8","88000","262","154000","539000","781000","785200000","3730000","785200000"
"SHV-0133","UAECD-OTC","Arriendo","Casa","82","3","2","Sí","No","60","Teusaquillo","Nicolás de Federmán","5","4.620621","-74.103507","300","1.65","172000","250","153000","0","325000","671500000","3990000","3990000"
"SHV-0134","FincaRaíz","Venta","Apartamento","66","1","1","No","No","46","Los Mártires","La Sabana","3","4.626845","-74.088893","280","2.31","39000","184","110000","231000","380000","251800000","1090000","251800000"
"SHV-0135","UAECD-OTC","Venta","Apartamento","42","2","1","No","Sí","27","Antonio Nariño","Antonio Nariño","2","4.580287","-74.10734","220","4.27","22000","129","56000","10000","88000","89400000","410000","89400000"
"SHV-0136","FincaRaíz","Venta","Apartamento","94","3","2","Sí","Sí","46","Puente Aranda","Muzú","4","4.600351","-74.131184","245","3.45","97000","218","107000","472000","676000","684400000","3140000","684400000"
"SHV-0137","Metrocuadrado","Venta","Apartamento","65","2","1","Sí","Sí","45","La Candelaria","La Candelaria","3","4.603687","-74.057089","310","1.33","78000","133","63000","159000","300000","243400000","1240000","243400000"
"SHV-0138","Metrocuadrado","Arriendo","Apartamento","63","1","1","No","No","47","Rafael Uribe Uribe","Marco Fidel Suárez","2","4.542571","-74.089594","200","4.93","63000","148","59000","63000","185000","125300000","630000","630000"
"SHV-0139","Metrocuadrado","Venta","Casa","42","1","1","No","No","22","Ciudad Bolívar","El Mochuelo","1","4.541613","-74.150364","170","5.91","42000","112","51000","0","93000","68800000","360000","68800000"
